"Name","Start","End","Duration","Process"
"Excel 绘制饼状图_哔哩哔哩_bilibili 和另外 2 个页面 - 个人 - Microsoft​ Edge","2022-12-20T23:23:59.0000000","2022-12-20T23:24:07.0000000","0:00:08","Microsoft Edge"
"表格转饼状图在线 - 搜索 和另外 1 个页面 - 个人 - Microsoft​ Edge","2022-12-20T23:24:07.0000000","2022-12-20T23:24:25.0000000","0:00:18","Microsoft Edge"
"Python 表格数据转饼状图 - 搜索 和另外 2 个页面 - 个人 - Microsoft​ Edge","2022-12-20T23:24:25.0000000","2022-12-20T23:24:30.0000000","0:00:05","Microsoft Edge"
"中华人民共和国, 福建省, 连江县, 350500 天气预报 | Microsoft 天气 和另外 2 个页面 - 个人 - Microsoft​ Edge","2022-12-20T23:24:30.0000000","2022-12-20T23:24:35.0000000","0:00:05","Microsoft Edge"
"用python处理excel数据（十）饼图 - 知乎 和另外 2 个页面 - 个人 - Microsoft​ Edge","2022-12-20T23:24:35.0000000","2022-12-20T23:25:33.0000000","0:00:58","Microsoft Edge"
"C:\WINDOWS\system32\cmd.exe","2022-12-20T23:25:33.0000000","2022-12-20T23:25:39.0000000","0:00:06","Windows Terminal"
"用python处理excel数据（十）饼图 - 知乎 和另外 2 个页面 - 个人 - Microsoft​ Edge","2022-12-20T23:25:39.0000000","2022-12-20T23:25:47.0000000","0:00:08","Microsoft Edge"
"C:\WINDOWS\system32\cmd.exe","2022-12-20T23:25:47.0000000","2022-12-20T23:26:21.0000000","0:00:34","Windows Terminal"
"python使用pandas读取excel绘制柱状图，折线图，饼状图_酸奶的成长记的博客-CSDN博客_pandas读取excel绘制柱状图 和另外 2 个页面 - 个人 - Microsoft​ Edge","2022-12-20T23:26:21.0000000","2022-12-20T23:26:27.0000000","0:00:06","Microsoft Edge"
"(156条消息) python使用pandas读取excel绘制柱状图，折线图，饼状图_酸奶的成长记的博客-CSDN博客_pandas读取excel绘制柱状图 和另外 2 个页面 - 个人 - Microsoft​ Edge","2022-12-20T23:26:27.0000000","2022-12-20T23:26:34.0000000","0:00:07","Microsoft Edge"
"ManicTimeData_2022-12-20.csv - Excel","2022-12-20T23:26:34.0000000","2022-12-20T23:26:40.0000000","0:00:06","Microsoft Excel"
"Windows 资源管理器","2022-12-20T23:26:40.0000000","2022-12-20T23:26:48.0000000","0:00:08","Windows 资源管理器"
"开始 - Desktop - Visual Studio Code","2022-12-20T23:26:48.0000000","2022-12-20T23:26:55.0000000","0:00:07","Visual Studio Code"
"Preview 'ManicTimeData_2022-12-20.csv' - Desktop - Visual Studio Code","2022-12-20T23:26:55.0000000","2022-12-20T23:27:07.0000000","0:00:12","Visual Studio Code"
"(156条消息) python使用pandas读取excel绘制柱状图，折线图，饼状图_酸奶的成长记的博客-CSDN博客_pandas读取excel绘制柱状图 和另外 2 个页面 - 个人 - Microsoft​ Edge","2022-12-20T23:27:07.0000000","2022-12-20T23:27:16.0000000","0:00:09","Microsoft Edge"
"● run.py - Desktop - Visual Studio Code","2022-12-20T23:27:16.0000000","2022-12-20T23:27:21.0000000","0:00:05","Visual Studio Code"
"ManicTimeData_2022-12-20.csv - Desktop - Visual Studio Code","2022-12-20T23:27:21.0000000","2022-12-20T23:27:26.0000000","0:00:05","Visual Studio Code"
"run.py - Desktop - Visual Studio Code","2022-12-20T23:27:26.0000000","2022-12-20T23:27:45.0000000","0:00:19","Visual Studio Code"
"C:\WINDOWS\system32\cmd.exe - pip  install pandas","2022-12-20T23:27:45.0000000","2022-12-20T23:28:00.0000000","0:00:15","Windows Terminal"
"任务切换","2022-12-20T23:28:00.0000000","2022-12-20T23:28:05.0000000","0:00:05","Windows 资源管理器"
"run.py - Desktop - Visual Studio Code","2022-12-20T23:28:05.0000000","2022-12-20T23:28:21.0000000","0:00:16","Visual Studio Code"
"C:\WINDOWS\system32\cmd.exe","2022-12-20T23:28:21.0000000","2022-12-20T23:28:32.0000000","0:00:11","Windows Terminal"
"C:\WINDOWS\system32\cmd.exe - pip  install matplotlib","2022-12-20T23:28:32.0000000","2022-12-20T23:28:39.0000000","0:00:07","Windows Terminal"
"ManicTime - 标准（免费）","2022-12-20T23:28:39.0000000","2022-12-20T23:28:48.0000000","0:00:09","ManicTime"
"run.py - Desktop - Visual Studio Code","2022-12-20T23:28:48.0000000","2022-12-20T23:28:56.0000000","0:00:08","Visual Studio Code"
"tk","2022-12-20T23:28:56.0000000","2022-12-20T23:29:01.0000000","0:00:05","Python"
"run.py - Desktop - Visual Studio Code","2022-12-20T23:29:01.0000000","2022-12-20T23:29:06.0000000","0:00:05","Visual Studio Code"
"example.csv - Desktop - Visual Studio Code","2022-12-20T23:29:06.0000000","2022-12-20T23:29:46.0000000","0:00:40","Visual Studio Code"
"打开文件夹","2022-12-20T23:29:46.0000000","2022-12-20T23:29:53.0000000","0:00:07","Visual Studio Code"
"P1908.cpp - cpp-code - Visual Studio Code","2022-12-20T23:29:53.0000000","2022-12-20T23:30:18.0000000","0:00:25","Visual Studio Code"
"test.cpp - cpp-code - Visual Studio Code","2022-12-20T23:30:18.0000000","2022-12-20T23:30:23.0000000","0:00:05","Visual Studio Code"
"● a.csv - cpp-code - Visual Studio Code","2022-12-20T23:30:23.0000000","2022-12-20T23:31:03.0000000","0:00:40","Visual Studio Code"
"● test.cpp - cpp-code - Visual Studio Code","2022-12-20T23:31:03.0000000","2022-12-20T23:31:10.0000000","0:00:07","Visual Studio Code"
"test.cpp - cpp-code - Visual Studio Code","2022-12-20T23:31:10.0000000","2022-12-20T23:31:15.0000000","0:00:05","Visual Studio Code"
"● test.cpp - cpp-code - Visual Studio Code","2022-12-20T23:31:15.0000000","2022-12-20T23:31:57.0000000","0:00:42","Visual Studio Code"
"● test.cpp - cpp-code - Visual Studio Code","2022-12-20T23:31:57.0000000","2022-12-20T23:32:18.0000000","0:00:21","Visual Studio Code"
"test.cpp - cpp-code - Visual Studio Code","2022-12-20T23:32:18.0000000","2022-12-20T23:32:26.0000000","0:00:08","Visual Studio Code"
"out.out - cpp-code - Visual Studio Code","2022-12-20T23:32:26.0000000","2022-12-20T23:32:31.0000000","0:00:05","Visual Studio Code"
"test.cpp - cpp-code - Visual Studio Code","2022-12-20T23:32:31.0000000","2022-12-20T23:32:36.0000000","0:00:05","Visual Studio Code"
